City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,sangaria,29.8,74.45,17.37,23,0,2.63,IN,1702352547
242,iskateley,67.6803,53.1512,-14.39,92,100,7.04,RU,1702352547
243,bandarbeyla,9.4942,50.8122,25.11,70,29,7.86,SO,1702352547
244,bagnes,46.0833,7.2167,9.92,100,75,1.03,CH,1702352547
245,hashtrud,37.4779,47.0508,3.2,75,77,1.59,IR,1702352547
246,lieksa,63.3167,30.0167,-11.0,94,97,3.1,FI,1702352548
247,motomachi,43.8228,144.1044,-2.99,93,75,0.51,JP,1702352548
248,pemangkat,1.1667,108.9667,29.73,68,44,1.04,ID,1702352548
249,mandera,3.9366,41.867,27.29,65,100,3.56,KE,1702352548
250,rio preto da eva,-2.6994,-59.6997,23.63,98,100,0.98,BR,1702352548
251,west island,-12.1568,96.8225,28.99,65,40,4.12,CC,1702352548
252,santana,-0.0583,-51.1817,28.1,83,75,2.06,BR,1702352548
253,upata,8.0086,-62.3989,24.0,93,43,1.72,VE,1702352549
254,yakeshi,49.2833,120.7333,-27.55,97,85,0.8,CN,1702352549
255,maumere,-8.6199,122.2111,29.44,74,67,2.44,ID,1702352549
256,xining,36.6167,101.7667,-0.2,31,23,0.89,CN,1702352276
257,ishigaki,24.3448,124.1572,23.07,94,75,9.26,JP,1702352549
258,huancavelica,-12.7667,-74.9833,6.32,86,97,1.92,PE,1702352531
259,hereford,52.0568,-2.7148,10.74,95,94,3.62,GB,1702352549
260,happy valley-goose bay,53.3168,-60.3315,-1.83,86,100,4.63,CA,1702352549
261,tazacorte,28.629,-17.9293,18.97,53,0,3.09,ES,1702352550
262,yangiobod,41.1192,70.0941,-6.71,95,100,1.89,UZ,1702352550
263,praia da vitoria,38.7333,-27.0667,13.14,82,20,5.92,PT,1702352550
264,lufilufi,-13.8745,-171.5986,27.88,83,100,5.9,WS,1702352550
265,awjilah,29.1081,21.2869,13.36,77,0,3.87,LY,1702352550
266,urengoy,65.9667,78.3667,-25.65,89,100,4.63,RU,1702352550
267,chonchi,-42.6128,-73.8092,10.56,95,97,1.1,CL,1702352551
268,vorkuta,67.5,64.0,-16.5,94,100,7.07,RU,1702352551
269,hirara,24.8,125.2833,22.15,94,75,10.8,JP,1702352551
270,mitchell,43.7094,-98.0298,1.99,55,100,6.17,US,1702352551
271,lerwick,60.1545,-1.1494,4.0,70,95,3.08,GB,1702352551
